;index;iteration;type;class_idx;class_name
0;413;0;Training;8;phosphorus-P
0;414;0;Training;8;phosphorus-P
0;415;0;Training;0;boron-B
0;417;0;Training;9;potasium-K
0;418;0;Training;9;potasium-K
0;419;0;Training;9;potasium-K
0;420;0;Training;7;nitrogen-N
0;421;0;Training;9;potasium-K
0;422;0;Training;7;nitrogen-N
0;423;0;Training;1;calcium-Ca
0;424;0;Training;9;potasium-K
0;425;0;Training;5;manganese-Mn
0;426;0;Training;8;phosphorus-P
0;427;0;Training;0;boron-B
0;428;0;Training;7;nitrogen-N
0;429;0;Training;8;phosphorus-P
0;430;0;Training;5;manganese-Mn
0;431;0;Training;8;phosphorus-P
0;432;0;Training;0;boron-B
0;433;0;Training;8;phosphorus-P
0;434;0;Training;6;more-deficiencies
0;435;0;Training;4;magnesium-Mg
0;436;0;Training;4;magnesium-Mg
0;437;0;Training;0;boron-B
0;440;0;Training;8;phosphorus-P
0;441;0;Training;0;boron-B
0;442;0;Training;1;calcium-Ca
0;443;0;Training;4;magnesium-Mg
0;444;0;Training;0;boron-B
0;445;0;Training;5;manganese-Mn
0;446;0;Training;1;calcium-Ca
0;447;0;Training;8;phosphorus-P
0;448;0;Training;1;calcium-Ca
0;451;0;Training;1;calcium-Ca
0;453;0;Training;9;potasium-K
0;454;0;Training;8;phosphorus-P
0;455;0;Training;7;nitrogen-N
0;457;0;Training;6;more-deficiencies
0;458;0;Training;0;boron-B
0;459;0;Training;3;iron-Fe
0;460;0;Training;1;calcium-Ca
0;461;0;Training;8;phosphorus-P
0;462;0;Training;7;nitrogen-N
0;463;0;Training;6;more-deficiencies
0;465;0;Training;6;more-deficiencies
0;466;0;Training;1;calcium-Ca
0;467;0;Training;8;phosphorus-P
0;468;0;Training;5;manganese-Mn
0;469;0;Training;6;more-deficiencies
0;470;0;Training;5;manganese-Mn
0;471;0;Training;8;phosphorus-P
0;472;0;Training;7;nitrogen-N
0;473;0;Training;6;more-deficiencies
0;476;0;Training;0;boron-B
0;477;0;Training;3;iron-Fe
0;478;0;Training;9;potasium-K
0;479;0;Training;4;magnesium-Mg
0;480;0;Training;8;phosphorus-P
0;481;0;Training;6;more-deficiencies
0;482;0;Training;3;iron-Fe
0;483;0;Training;1;calcium-Ca
0;484;0;Training;1;calcium-Ca
0;485;0;Training;8;phosphorus-P
0;486;0;Training;1;calcium-Ca
0;488;0;Training;3;iron-Fe
0;490;0;Training;9;potasium-K
0;492;0;Training;8;phosphorus-P
0;493;0;Training;1;calcium-Ca
0;494;0;Training;8;phosphorus-P
0;495;0;Training;8;phosphorus-P
0;497;0;Training;1;calcium-Ca
0;498;0;Training;8;phosphorus-P
0;499;0;Training;4;magnesium-Mg
0;500;0;Training;8;phosphorus-P
0;501;0;Training;8;phosphorus-P
0;502;0;Training;1;calcium-Ca
0;504;0;Training;1;calcium-Ca
0;505;0;Training;8;phosphorus-P
0;506;0;Training;4;magnesium-Mg
0;507;0;Training;8;phosphorus-P
0;508;0;Training;0;boron-B
0;509;0;Training;0;boron-B
0;510;0;Training;1;calcium-Ca
0;511;0;Training;1;calcium-Ca
0;512;0;Training;9;potasium-K
0;513;0;Training;6;more-deficiencies
0;514;0;Training;6;more-deficiencies
0;515;0;Training;4;magnesium-Mg
0;516;0;Training;1;calcium-Ca
0;518;0;Training;0;boron-B
0;519;0;Training;8;phosphorus-P
0;520;0;Training;8;phosphorus-P
0;521;0;Training;1;calcium-Ca
0;522;0;Training;0;boron-B
0;523;0;Training;0;boron-B
0;524;0;Training;0;boron-B
0;525;0;Training;9;potasium-K
0;529;0;Training;8;phosphorus-P
0;530;0;Training;1;calcium-Ca
0;531;0;Training;8;phosphorus-P
0;532;0;Training;6;more-deficiencies
0;533;0;Training;0;boron-B
0;534;0;Training;7;nitrogen-N
0;535;0;Training;3;iron-Fe
0;538;0;Training;5;manganese-Mn
0;539;0;Training;4;magnesium-Mg
0;540;0;Training;3;iron-Fe
0;541;0;Training;7;nitrogen-N
0;542;0;Training;9;potasium-K
0;545;0;Training;1;calcium-Ca
0;546;0;Training;0;boron-B
0;549;0;Training;5;manganese-Mn
0;550;0;Training;7;nitrogen-N
0;551;0;Training;8;phosphorus-P
0;552;0;Training;0;boron-B
0;553;0;Training;3;iron-Fe
0;555;0;Training;8;phosphorus-P
0;556;0;Training;8;phosphorus-P
0;557;0;Training;8;phosphorus-P
0;558;0;Training;1;calcium-Ca
0;559;0;Training;6;more-deficiencies
0;560;0;Training;8;phosphorus-P
0;561;0;Training;7;nitrogen-N
0;562;0;Training;7;nitrogen-N
0;563;0;Training;1;calcium-Ca
0;564;0;Training;8;phosphorus-P
0;566;0;Training;5;manganese-Mn
0;567;0;Training;1;calcium-Ca
0;569;0;Training;1;calcium-Ca
0;570;0;Training;4;magnesium-Mg
0;571;0;Training;0;boron-B
0;573;0;Training;8;phosphorus-P
0;574;0;Training;9;potasium-K
0;575;0;Training;9;potasium-K
0;576;0;Training;6;more-deficiencies
0;577;0;Training;7;nitrogen-N
0;579;0;Training;4;magnesium-Mg
0;580;0;Training;9;potasium-K
0;581;0;Training;1;calcium-Ca
0;582;0;Training;1;calcium-Ca
0;583;0;Training;8;phosphorus-P
0;584;0;Training;8;phosphorus-P
0;585;0;Training;8;phosphorus-P
0;587;0;Training;9;potasium-K
0;589;0;Training;0;boron-B
0;590;0;Training;4;magnesium-Mg
0;591;0;Training;6;more-deficiencies
0;592;0;Training;8;phosphorus-P
0;593;0;Training;0;boron-B
0;594;0;Training;9;potasium-K
0;595;0;Training;9;potasium-K
0;596;0;Training;1;calcium-Ca
0;597;0;Training;8;phosphorus-P
0;601;0;Training;1;calcium-Ca
0;602;0;Training;6;more-deficiencies
0;603;0;Training;0;boron-B
0;604;0;Training;3;iron-Fe
0;605;0;Training;3;iron-Fe
0;606;0;Training;1;calcium-Ca
0;607;0;Training;1;calcium-Ca
0;608;0;Training;7;nitrogen-N
0;609;0;Training;1;calcium-Ca
0;610;0;Training;1;calcium-Ca
0;612;0;Training;8;phosphorus-P
0;613;0;Training;0;boron-B
0;614;0;Training;0;boron-B
0;615;0;Training;6;more-deficiencies
0;617;0;Training;4;magnesium-Mg
0;618;0;Training;6;more-deficiencies
0;619;0;Training;6;more-deficiencies
0;620;0;Training;4;magnesium-Mg
0;621;0;Training;8;phosphorus-P
0;622;0;Training;0;boron-B
0;623;0;Training;9;potasium-K
0;624;0;Training;6;more-deficiencies
0;625;0;Training;2;healthy
0;626;0;Training;8;phosphorus-P
0;629;0;Training;5;manganese-Mn
0;630;0;Training;8;phosphorus-P
0;631;0;Training;6;more-deficiencies
0;632;0;Training;5;manganese-Mn
0;633;0;Training;8;phosphorus-P
0;634;0;Training;1;calcium-Ca
0;635;0;Training;5;manganese-Mn
0;638;0;Training;6;more-deficiencies
0;639;0;Training;1;calcium-Ca
0;640;0;Training;0;boron-B
0;641;0;Training;4;magnesium-Mg
0;643;0;Training;1;calcium-Ca
0;644;0;Training;7;nitrogen-N
0;645;0;Training;1;calcium-Ca
0;646;0;Training;0;boron-B
0;647;0;Training;8;phosphorus-P
0;648;0;Training;9;potasium-K
0;649;0;Training;8;phosphorus-P
0;650;0;Training;7;nitrogen-N
0;651;0;Training;5;manganese-Mn
0;652;0;Training;6;more-deficiencies
0;653;0;Training;6;more-deficiencies
0;654;0;Training;9;potasium-K
0;655;0;Training;5;manganese-Mn
0;656;0;Training;0;boron-B
0;657;0;Training;8;phosphorus-P
0;658;0;Training;8;phosphorus-P
0;659;0;Training;3;iron-Fe
0;662;0;Training;4;magnesium-Mg
0;663;0;Training;6;more-deficiencies
0;664;0;Training;1;calcium-Ca
0;665;0;Training;9;potasium-K
0;666;0;Training;4;magnesium-Mg
0;667;0;Training;6;more-deficiencies
0;668;0;Training;8;phosphorus-P
0;669;0;Training;5;manganese-Mn
0;670;0;Training;8;phosphorus-P
0;671;0;Training;0;boron-B
0;672;0;Training;1;calcium-Ca
0;673;0;Training;9;potasium-K
0;674;0;Training;8;phosphorus-P
0;675;0;Training;8;phosphorus-P
0;677;0;Training;8;phosphorus-P
0;678;0;Training;6;more-deficiencies
0;679;0;Training;4;magnesium-Mg
0;680;0;Training;9;potasium-K
0;681;0;Training;6;more-deficiencies
0;682;0;Training;0;boron-B
0;683;0;Training;0;boron-B
0;684;0;Training;5;manganese-Mn
0;685;0;Training;8;phosphorus-P
0;686;0;Training;1;calcium-Ca
0;688;0;Training;1;calcium-Ca
0;689;0;Training;8;phosphorus-P
0;690;0;Training;5;manganese-Mn
0;693;0;Training;8;phosphorus-P
0;695;0;Training;1;calcium-Ca
0;696;0;Training;9;potasium-K
0;697;0;Training;1;calcium-Ca
0;698;0;Training;3;iron-Fe
0;699;0;Training;5;manganese-Mn
0;701;0;Training;4;magnesium-Mg
0;702;0;Training;5;manganese-Mn
0;703;0;Training;9;potasium-K
0;704;0;Training;1;calcium-Ca
0;705;0;Training;9;potasium-K
0;706;0;Training;9;potasium-K
0;708;0;Training;8;phosphorus-P
0;709;0;Training;0;boron-B
0;710;0;Training;4;magnesium-Mg
0;711;0;Training;4;magnesium-Mg
0;712;0;Training;8;phosphorus-P
0;713;0;Training;1;calcium-Ca
0;714;0;Training;9;potasium-K
0;715;0;Training;1;calcium-Ca
0;716;0;Training;8;phosphorus-P
0;717;0;Training;4;magnesium-Mg
0;718;0;Training;0;boron-B
0;720;0;Training;3;iron-Fe
0;721;0;Training;8;phosphorus-P
0;722;0;Training;9;potasium-K
0;724;0;Training;8;phosphorus-P
0;725;0;Training;3;iron-Fe
0;727;0;Training;1;calcium-Ca
0;730;0;Training;7;nitrogen-N
0;731;0;Training;7;nitrogen-N
0;732;0;Training;8;phosphorus-P
0;734;0;Training;3;iron-Fe
0;735;0;Training;9;potasium-K
0;736;0;Training;6;more-deficiencies
0;737;0;Training;1;calcium-Ca
0;738;0;Training;6;more-deficiencies
0;739;0;Training;8;phosphorus-P
0;740;0;Training;1;calcium-Ca
0;741;0;Training;6;more-deficiencies
0;742;0;Training;3;iron-Fe
0;744;0;Training;4;magnesium-Mg
0;745;0;Training;8;phosphorus-P
0;746;0;Training;8;phosphorus-P
0;747;0;Training;0;boron-B
0;749;0;Training;6;more-deficiencies
0;750;0;Training;8;phosphorus-P
0;751;0;Training;1;calcium-Ca
0;752;0;Training;5;manganese-Mn
0;753;0;Training;8;phosphorus-P
0;754;0;Training;8;phosphorus-P
0;755;0;Training;1;calcium-Ca
0;757;0;Training;1;calcium-Ca
0;758;0;Training;9;potasium-K
0;759;0;Training;7;nitrogen-N
0;760;0;Training;3;iron-Fe
0;761;0;Training;1;calcium-Ca
0;762;0;Training;8;phosphorus-P
0;763;0;Training;1;calcium-Ca
0;764;0;Training;8;phosphorus-P
0;765;0;Training;0;boron-B
0;767;0;Training;8;phosphorus-P
0;768;0;Training;8;phosphorus-P
0;769;0;Training;7;nitrogen-N
0;771;0;Training;4;magnesium-Mg
0;772;0;Training;9;potasium-K
0;774;0;Training;1;calcium-Ca
0;776;0;Training;9;potasium-K
0;777;0;Training;8;phosphorus-P
0;778;0;Training;1;calcium-Ca
0;779;0;Training;8;phosphorus-P
0;780;0;Training;6;more-deficiencies
0;781;0;Training;0;boron-B
0;782;0;Training;5;manganese-Mn
0;784;0;Training;1;calcium-Ca
0;785;0;Training;8;phosphorus-P
0;786;0;Training;4;magnesium-Mg
0;787;0;Training;4;magnesium-Mg
0;790;0;Training;5;manganese-Mn
0;792;0;Training;4;magnesium-Mg
0;794;0;Training;7;nitrogen-N
0;795;0;Training;8;phosphorus-P
0;796;0;Training;8;phosphorus-P
0;797;0;Training;1;calcium-Ca
0;799;0;Training;5;manganese-Mn
0;800;0;Training;5;manganese-Mn
0;803;0;Training;8;phosphorus-P
1;4;0;Testing;7;nitrogen-N
1;6;0;Testing;0;boron-B
1;11;0;Testing;8;phosphorus-P
1;20;0;Testing;5;manganese-Mn
1;25;0;Testing;7;nitrogen-N
1;28;0;Testing;3;iron-Fe
1;42;0;Testing;8;phosphorus-P
1;45;0;Testing;0;boron-B
1;46;0;Testing;2;healthy
1;50;0;Testing;8;phosphorus-P
1;55;0;Testing;0;boron-B
1;56;0;Testing;4;magnesium-Mg
1;60;0;Testing;6;more-deficiencies
1;61;0;Testing;6;more-deficiencies
1;70;0;Testing;7;nitrogen-N
1;73;0;Testing;8;phosphorus-P
1;76;0;Testing;1;calcium-Ca
1;81;0;Testing;5;manganese-Mn
1;84;0;Testing;7;nitrogen-N
1;94;0;Testing;1;calcium-Ca
1;96;0;Testing;1;calcium-Ca
1;100;0;Testing;4;magnesium-Mg
1;111;0;Testing;8;phosphorus-P
1;117;0;Testing;9;potasium-K
1;124;0;Testing;5;manganese-Mn
1;126;0;Testing;8;phosphorus-P
1;148;0;Testing;8;phosphorus-P
1;164;0;Testing;8;phosphorus-P
1;178;0;Testing;4;magnesium-Mg
1;183;0;Testing;8;phosphorus-P
1;186;0;Testing;5;manganese-Mn
1;189;0;Testing;8;phosphorus-P
1;198;0;Testing;6;more-deficiencies
1;201;0;Testing;6;more-deficiencies
1;204;0;Testing;7;nitrogen-N
1;208;0;Testing;9;potasium-K
1;210;0;Testing;1;calcium-Ca
1;211;0;Testing;0;boron-B
1;213;0;Testing;5;manganese-Mn
1;224;0;Testing;0;boron-B
1;225;0;Testing;3;iron-Fe
1;226;0;Testing;8;phosphorus-P
1;228;0;Testing;5;manganese-Mn
1;229;0;Testing;1;calcium-Ca
1;233;0;Testing;4;magnesium-Mg
1;236;0;Testing;0;boron-B
1;239;0;Testing;1;calcium-Ca
1;240;0;Testing;0;boron-B
1;249;0;Testing;0;boron-B
1;255;0;Testing;8;phosphorus-P
1;259;0;Testing;8;phosphorus-P
1;264;0;Testing;6;more-deficiencies
1;268;0;Testing;6;more-deficiencies
1;269;0;Testing;0;boron-B
1;270;0;Testing;1;calcium-Ca
1;283;0;Testing;7;nitrogen-N
1;289;0;Testing;8;phosphorus-P
1;296;0;Testing;5;manganese-Mn
1;298;0;Testing;0;boron-B
1;305;0;Testing;8;phosphorus-P
1;311;0;Testing;5;manganese-Mn
1;322;0;Testing;5;manganese-Mn
1;323;0;Testing;9;potasium-K
1;328;0;Testing;8;phosphorus-P
1;329;0;Testing;6;more-deficiencies
1;332;0;Testing;7;nitrogen-N
1;338;0;Testing;8;phosphorus-P
1;341;0;Testing;8;phosphorus-P
1;344;0;Testing;8;phosphorus-P
1;347;0;Testing;6;more-deficiencies
1;353;0;Testing;3;iron-Fe
1;354;0;Testing;6;more-deficiencies
1;357;0;Testing;5;manganese-Mn
1;358;0;Testing;5;manganese-Mn
1;361;0;Testing;8;phosphorus-P
1;364;0;Testing;3;iron-Fe
1;366;0;Testing;1;calcium-Ca
1;369;0;Testing;8;phosphorus-P
1;370;0;Testing;6;more-deficiencies
1;372;0;Testing;8;phosphorus-P
1;373;0;Testing;8;phosphorus-P
1;379;0;Testing;1;calcium-Ca
1;380;0;Testing;4;magnesium-Mg
1;382;0;Testing;7;nitrogen-N
1;385;0;Testing;6;more-deficiencies
1;387;0;Testing;9;potasium-K
1;393;0;Testing;8;phosphorus-P
1;399;0;Testing;8;phosphorus-P
1;405;0;Testing;9;potasium-K
1;416;0;Testing;8;phosphorus-P
1;438;0;Testing;8;phosphorus-P
1;439;0;Testing;8;phosphorus-P
1;449;0;Testing;1;calcium-Ca
1;450;0;Testing;9;potasium-K
1;452;0;Testing;9;potasium-K
1;456;0;Testing;9;potasium-K
1;464;0;Testing;0;boron-B
1;474;0;Testing;9;potasium-K
1;475;0;Testing;8;phosphorus-P
1;487;0;Testing;7;nitrogen-N
1;489;0;Testing;3;iron-Fe
1;491;0;Testing;1;calcium-Ca
1;496;0;Testing;3;iron-Fe
1;503;0;Testing;4;magnesium-Mg
1;517;0;Testing;4;magnesium-Mg
1;526;0;Testing;9;potasium-K
